initiation,completion,cso_outfall,duration,volume
5/4/2022 6:12,5/5/2022 1:29,Main/King CSO Tank,19.28 hrs,Flow monitoring temporarily unavailable
5/4/2022 5:54,5/4/2022 5:55,Pleasant/Edenbridge Pump Station,0.01 hrs,2.32 thousand litres
5/3/2022 18:02,5/4/2022 6:00,Wellington CSO Outfall,6.70 hrs,No flow metering present at this location
5/3/2022 17:29,5/4/2022 5:35,Wentworth CSO Outfall,7.32 hrs,No flow metering present at this location
5/1/2022 21:22,5/1/2022 22:01,Wellington CSO Outfall,0.65 hrs,No flow metering present at this location
5/1/2022 14:38,5/1/2022 21:45,Wentworth CSO Outfall,1.16 hrs,No flow metering present at this location
4/25/2022 17:36,4/25/2022 22:05,Wellington CSO Outfall,2.00 hrs,No flow metering present at this location
4/25/2022 17:16,4/25/2022 21:32,Wentworth CSO Outfall,1.66 hrs,No flow metering present at this location
4/21/2022 8:10,4/21/2022 9:20,Wellington CSO Outfall,1.18 hrs,No flow metering present at this location
4/21/2022 7:40,4/21/2022 8:44,Wentworth CSO Outfall,1.08 hrs,No flow metering present at this location
4/18/2022 16:48,4/19/2022 18:41,Wellington CSO Outfall,1.85 hrs,No flow metering present at this location
4/18/2022 16:02,4/18/2022 18:33,Wentworth CSO Outfall,2.50 hrs,No flow metering present at this location
4/16/2022 0:15,4/16/2022 1:15,Wellington CSO Outfall,0.14 hrs,No flow metering present at this location
4/15/2022 23:44,4/16/2022 1:09,Wentworth CSO Outfall,1.41 hrs,No flow metering present at this location
4/6/2022 20:21,4/6/2022 20:30,Wentworth CSO Outfall,0.16 hrs,No flow metering present at this location
3/31/2022 11:56,3/31/2022 12:06,Wentworth CSO Outfall,0.16 hrs,No flow metering present at this location
3/30/2022 18:25,3/30/2022 18:57,Wentworth CSO Outfall,0.53 hrs,No flow metering present at this location
3/24/2022 0:07,3/25/2022 1:21,Greenhill CSO Tank,25.24 hrs,Flow monitoring device temporarily unavailable
3/23/2022 23:53,3/24/2022 19:41,Main/King CSO Tank,19.80 hrs,Flow monitoring device temporarily unavailable
3/23/2022 21:57,3/23/2022 23:29,Pleasant/Edenbridge Pump Station,0.20 hrs,48.2 thousand litres
3/23/2022 18:57,3/24/2022 0:00,Wellington CSO Outfall,5.05 hrs,No flow metering present at this location
3/23/2022 17:37,3/24/2022 0:13,Wentworth CSO Outfall,4.81 hrs,No flow metering present at this location
3/19/2022 7:38,3/19/2022 16:42,Wentworth CSO Outfall,1.34 hrs,No flow metering present at this location
3/7/2022 16:06,3/7/2022 16:49,Wentworth CSO Outfall,0.71 hrs,No flow metering present at this location
3/6/2022 4:59,3/6/2022 5:49,Wentworth CSO Outfall,0.83 hrs,No flow metering present at this location
2/23/2022 2:25,2/24/2022 2:03,Main/King CSO Tank,23.63 hrs,Flow monitoring device temporarily out of service
2/23/2022 0:58,2/23/2022 9:13,Royal CSO Tank,8.24 hrs,1.400 million litres
2/22/2022 23:45,2/23/2022 15:43,Greenhill CSO Tank,15.98 hrs,96.289 million litres
2/22/2022 15:01,2/22/2022 15:57,Pleasant/Edenbridge Pump Station,0.05 hrs,9.51 thousand litres
2/22/2022 13:43,2/22/2022 22:33,Wentworth CSO Outfall,4.94 hrs,No flow metering present at this location
2/17/2022 11:07,2/18/2022 4:49,Dundas WWTP Equalization Tank,17.70 hrs,No flow metering present at this location
2/17/2022 8:15,2/17/2022 21:10,Main/King CSO Tank,12.92 hrs,15.565 million litres
2/17/2022 7:45,2/18/2022 1:56,Greenhill CSO Tank,18.18 hrs,230.986 million litres
2/17/2022 7:37,2/17/2022 12:58,Strathearne CSO Outfall,5.35 hrs,No flow metering present at this location
2/17/2022 7:12,2/17/2022 20:35,Royal CSO Tank,13.37 hrs,4.850 million litres
2/17/2022 6:40,2/17/2022 6:48,Wellington CSO Outfall,0.13 hrs,No flow metering present at this location
2/17/2022 4:06,2/17/2022 16:04,Pleasant/Edenbridge Pump Station,0.28 hrs,70.47 thousand litres
2/17/2022 3:29,2/17/2022 19:02,Wentworth CSO Outfall,11.97 hrs,No flow metering present at this location
2/11/2022 15:49,2/11/2022 20:06,Wentworth CSO Outfall,2.71 hrs,No flow metering present at this location
2/2/2022 19:12,2/2/2022 20:21,Wentworth CSO Outfall,1.16 hrs,No flow metering present at this location
2/2/2022 15:34,2/2/2022 19:49,Wellington CSO Outfall,3.42 hrs,No flow metering present at this location
