event_id,location,start_date,start_time,end_date,end_time,duration,volume,disinfection,reason_code
41,HCG03,2021-07-01,17:04,2021-07-01,19:39,1.29,n/a,No,"1,7"
42,HCG14,2021-07-01,18:46,2021-07-01,19:37,0.86,n/a,No,"1,7"
43,HCG03,2021-07-02,16:05,2021-07-02,19:13,3.15,n/a,No,"1,7"
44,HCG14,2021-07-02,16:08,2021-07-02,19:05,2.77,n/a,No,"1,7"
45,S,2021-07-02,19:02,2021-07-02,20:45,1.72,15.607,Yes,"1,7"
46,HCG03,2021-07-07,20:39,2021-07-07,20:55,0.28,n/a,No,"1,7"
46,HC001,2021-07-02,17:36,2021-07-02,18:43,1.1,1.567,No,"1,7"
47,HCG03,2021-07-08,11:00,2021-07-08,15:20,3.14,n/a,No,"1,7"
48,HCG14,2021-07-08,12:05,2021-07-08,14:45,0.91,n/a,No,"1,7"
49,S,2021-07-08,12:43,2021-07-08,17:15,4.53,19.350,Yes,"1,7"
50,HCG03,2021-07-24,15:34,2021-07-25,00:25,1.12,n/a,No,"1,7"
51,HCG03,2021-07-27,11:10,2021-07-27,11:32,0.37,n/a,No,"1,7"
52,HCG03,2021-07-29,08:03,2021-07-29,09:53,1.83,n/a,No,"1,7"
53,HCG14,2021-07-29,08:23,2021-07-29,09:31,1.12,n/a,No,"1,7"
54,DC011,2021-08-01,17:17,2021-08-01,17:38,0.11,0.003,No,"1,7"
55,S,2021-08-07,16:26,2021-08-07,18:47,2.35,16.689,Yes,"1,7"
56,HCG03,2021-08-07,14:54,2021-08-07,16:17,1.38,n/a,No,"1,7"
57,DC011,2021-08-07,14:54,2021-08-07,15:01,0.08,0.006,No,"1,7"
58,HCG14,2021-08-07,14:57,2021-08-07,16:28,1.51,n/a,No,"1,7"
59,DC012,2021-08-07,14:58,2021-08-07,19:35,0.04,0.00011,No,"1,7"
60,HCS03,2021-08-07,15:22,2021-08-07,15:35,0.22,0.101,No,"1,7"
61,HCS09,2021-08-07,16:11,2021-08-07,18:30,2.31,0.053,No,"1,7"
62,HCG03,2021-08-11,05:13,2021-08-11,07:21,1.16,n/a,No,"1,7"
63,HCG14,2021-08-11,05:19,2021-08-11,06:04,0.76,n/a,No,"1,7"
64,HCG03,2021-08-17,13:24,2021-08-17,14:12,0.8,n/a,No,"1,7"
65,HCG14,2021-08-17,13:27,2021-08-17,14:08,0.68,n/a,No,"1,7"
66,HCG03,2021-08-26,19:01,2021-08-26,20:35,1.57,n/a,No,"1,7"
67,HCG14,2021-08-26,19:11,2021-08-26,20:44,1.54,n/a,No,"1,7"
68,S,2021-08-26,19:40,2021-08-26,23:51,4.18,65.926,Yes,"1,7"
69,HC001,2021-08-26,20:06,2021-08-26,20:29,0.38,0.940,No,"1,7"
70,HCS7C,2021-08-26,20:49,2021-08-26,23:42,2.88,2.695,No,"1,7"
71,HCG03,2021-08-29,13:56,2021-08-29,23:42,1.08,n/a,No,"1,7"
72,HCG14,2021-08-29,14:01,2021-08-29,23:37,0.76,n/a,No,"1,7"
73,HCG03,2021-09-05,00:36,2021-09-05,03:38,1.37,n/a,No,"1,7"
74,HCG14,2021-09-05,02:58,2021-09-05,03:37,0.65,n/a,No,"1,7"
75,HCG03,2021-09-07,19:38,2021-09-08,05:09,6.33,n/a,No,"1,7"
76,HCG14,2021-09-07,19:50,2021-09-08,04:53,4.77,n/a,No,"1,7"
77,S,2021-09-07,22:12,2021-09-08,16:24,18.19,213.360,Yes,"1,7"
78,HC001,2021-09-07,22:47,2021-09-08,00:32,1.75,3.755,No,"1,7"
79,HCG04,2021-09-07,23:02,2021-09-08,02:16,3.23,n/a,No,"1,7"
80,HCS04,2021-09-07,23:31,2021-09-08,15:53,16.36,54.750,No,"1,7"
81,HCS7C,2021-09-08,00:06,2021-09-08,02:35,2.49,4.211,No,"1,7"
82,HCS01,2021-09-08,00:17,2021-09-08,11:54,11.62,73.655,No,"1,7"
83,HCS08,2021-09-08,05:50,2021-09-08,09:58,4.14,0.002,No,"1,7"
84,HCG03,2021-09-09,14:18,2021-09-09,14:41,0.38,n/a,No,"1,7"
85,HCG03,2021-09-12,19:11,2021-09-13,00:38,1.81,n/a,No,"1,7"
86,HCG14,2021-09-12,23:38,2021-09-13,00:16,0.63,n/a,No,"1,7"
87,HCG03,2021-09-13,21:15,2021-09-13,23:19,1.53,n/a,No,"1,7"
88,HCG14,2021-09-13,22:09,2021-09-13,23:14,1.07,n/a,No,"1,7"
89,S,2021-09-13,23:36,2021-09-14,02:39,3.05,24.033,Yes,"1,7"
90,HCG03,2021-09-15,00:06,2021-09-15,00:56,0.84,n/a,No,"1,7"
91,HCG14,2021-09-15,00:18,2021-09-15,00:57,0.66,n/a,No,"1,7"
92,HCG03,2021-09-22,05:17,2021-09-23,23:19,15.05,n/a,No,"1,7"
93,HCG14,2021-09-22,09:13,2021-09-22,22:49,4.02,n/a,No,"1,7"
94,S,2021-09-22,10:57,2021-09-23,10:44,23.78,272.260,Yes,"1,7"
95,HCS04,2021-09-22,15:24,2021-09-24,07:08,39.71,164.034,No,"1,7"
96,DC011,2021-09-22,20:23,2021-09-23,00:15,3.87,0.265,No,"1,7"
97,HCS01,2021-09-22,20:37,2021-09-23,19:36,22.99,148.260,No,"1,7"
98,HC001,2021-09-22,20:48,2021-09-23,01:56,5.13,4.095,No,"1,7"
99,DC012,2021-09-22,21:16,2021-09-22,22:51,1.58,0.044,No,"1,7"
100,HCS05,2021-09-22,21:47,2021-09-23,18:49,21.03,82.099,No,"1,7"
101,HW,2021-09-22,21:53,2021-09-23,01:35,3.7,39.140,No,"1,7"
102,HCS08,2021-09-22,22:04,2021-09-23,12:07,14.05,2.092,No,"1,7"
103,HCG04,2021-09-22,22:19,2021-09-23,02:01,3.69,n/a,No,"1,7"
104,HCS7C,2021-09-23,00:38,2021-09-23,01:39,1.03,0.123,No,"1,7"
105,HCG03,2021-09-25,15:03,2021-09-25,15:23,0.33,n/a,No,"1,7"
106,HCG03,2021-10-03,13:28,2021-10-04,22:49,12.48,n/a,No,"1,7"
107,HCG14,2021-10-03,20:26,2021-10-04,03:26,6.11,n/a,No,"1,7"
108,S,2021-10-03,21:32,2021-10-04,20:45,23.4,265.084,Yes,"1,7"
109,DC011,2021-10-03,21:42,2021-10-04,04:06,0.29,0.039,No,"1,7"
110,HCS04,2021-10-03,22:18,2021-10-04,22:30,24.2,104.529,No,"1,7"
111,HCG04,2021-10-03,22:41,2021-10-04,04:32,5.85,n/a,No,"1,7"
112,HCS08,2021-10-03,22:41,2021-10-04,21:14,22.55,4.434,No,"1,7"
113,PH,2021-10-03,22:36,2021-10-04,04:25,5.81,48.434,No,"1,3,7"
114,HCS7C,2021-10-03,23:14,2021-10-04,04:21,5.11,8.750,No,"1,7"
115,HCS01,2021-10-03,23:25,2021-10-05,04:29,29.07,228.682,No,"1,7"
116,HW,2021-10-04,03:00,2021-10-04,07:07,4.12,40.108,No,"1,7"
117,HCG03,2021-10-09,03:03,2021-10-09,12:04,5.73,n/a,No,"1,7"
118,HCG14,2021-10-09,04:24,2021-10-09,07:02,2.29,n/a,No,"1,7"
119,HC001,2021-10-09,06:01,2021-10-09,10:43,4.7,3.586,No,"1,7"
120,S,2021-10-09,06:11,2021-10-10,00:15,18.08,156.669,Yes,"1,7"
121,HCS01,2021-10-09,08:30,2021-10-09,22:49,14.32,59.654,No,"1,7"
122,HCG03,2021-10-15,19:20,2021-10-15,21:55,2.52,n/a,No,"1,7"
123,HCG14,2021-10-15,20:03,2021-10-15,21:10,1.13,n/a,No,"1,7"
124,HC001,2021-10-15,20:20,2021-10-15,21:07,0.78,1.653,No,"1,7"
125,S,2021-10-15,20:45,2021-10-16,12:09,15.4,114.737,Yes,"1,7"
126,HCG03,2021-10-21,19:39,2021-10-21,20:10,0.5,n/a,No,"1,7"
127,HCG03,2021-10-25,01:42,2021-10-26,07:06,14.42,n/a,No,"1,7"
128,S,2021-10-25,13:50,2021-10-27,05:26,39.61,453.663,No,"1,7"
129,HCS01,2021-10-25,16:40,2021-10-27,05:45,37.07,279.499,No,"1,7"
130,HCS04,2021-10-26,05:14,2021-10-27,01:54,20.67,40.147,No,"1,7"
131,HCS05,2021-10-26,11:18,2021-10-27,07:15,19.95,46.132,No,"1,7"
132,HCG03,2021-10-29,16:18,2021-10-30,05:43,10.89,n/a,No,"1,7"
133,HCG14,2021-10-29,17:03,2021-10-29,19:29,1.74,n/a,No,"1,7"
134,S,2021-10-29,18:06,2021-10-31,01:42,31.59,346.886,No,"1,7"
135,HCS01,2021-10-30,00:15,2021-10-31,15:55,29.26,211.499,No,"1,7"
136,HCS04,2021-10-30,01:24,2021-10-31,09:43,32.32,68.835,No,"1,7"
137,HCS08,2021-10-30,08:53,2021-10-30,17:03,8.16,0.666,No,"1,7"
138,HCG03,2021-10-30,20:58,2021-10-30,21:10,0.2,n/a,No,"1,7"
139,HCG03,2021-11-12,20:01,2021-11-12,20:44,0.72,n/a,No,"1,7"
140,HCG03,2021-12-05,20:47,2021-12-06,09:19,4.03,n/a,No,"1,7"
141,HCG14,2021-12-05,21:16,2021-12-05,22:40,0.74,n/a,No,"1,7"
142,S,2021-12-05,22:38,2021-12-06,05:12,6.56,55.288,No,"1,7"
143,HCG03,2021-12-11,01:54,2021-12-11,06:25,2.68,n/a,No,"1,7"
144,HCG14,2021-12-11,04:30,2021-12-11,06:10,1.68,n/a,No,"1,7"
145,DC011,2021-12-11,05:17,2021-12-11,06:42,1.42,0.106,No,"1,7"
146,DC012,2021-12-11,05:24,2021-12-11,06:04,0.67,0.038,No,"1,7"
147,S,2021-12-11,05:40,2021-12-11,14:03,8.38,65.643,No,"1,7"
148,HCG03,2021-12-25,13:24,2021-12-25,15:26,1.08,n/a,No,"1,7"
